Variable,Value1,Value2,Value3,Value4
y,0.005227542221385073,0.005220888726378242,1.6949489068936868e-05,0.0
theta,36.500605150906715,36.41725526205761,-45.60082637899066,-45.76104631226272
sigma_s,1.640005703456909e-10,,,
I_p,4.204645271735264e-10,2.604670665134364e-14,1.0618899847333125e-12,1.450249758501987e-12
I_s,1.1318554185255637e-10,2.376945672041527e-11,7.0646045712436386e-12,6.763068029345784e-11
an,(0.997779261697922-0.04707235519359292j),(0.8543351685869365-0.35276988009532123j),(1.2666555708654773e-16-1.1254579382924432e-08j),(1.613823145209744e-18-1.270363391006583e-09j)
bn,(0.8782252522234326-0.3270254708436652j),(0.9948836779921277-0.07134525392052486j),(1.9074675688881873e-17-4.367456432396535e-09j),(2.0368358761530676e-19-4.513131813001995e-10j)
T_p,0.0,3.141592653589793,3.141592653589793,0.0
T_s,3.141592653589793,0.0,0.0,3.141592653589793
I,6.99799233381304e-08,1.9714101707619215e-09,3.7739145379846235e-08,2.2244232583421744e-08
figx,8,,,
figy,8,,,
fig,Figure(2880x1000),,,
theta_adj,56.500605150906715,56.41725526205761,-25.60082637899066,-25.76104631226272
band,2e-08,,,
c,300000000,,,
vband,2373323840037.973,,,
vvec,187500000000000.0,187504756348139.3,189868661373379.7,189873417721519.0
lineshape,0.5031348041203917,0.5051554322691612,0.49884091536987324,0.4968454954631508
I_tot,5.336500690260827e-10,2.3795503427066613e-11,8.126494555976951e-12,6.908093005195983e-11
Im,2.684979229482716e-10,1.202042781976214e-11,4.053827983051834e-12,3.432254891872125e-11
file_directory,/Users/colincasey/UCLA/jalalilab/jalali-lab-first-assignment/consoleTXToutputs,,,
file_name,pythonmainvariables.csv,,,
full_file_path,/Users/colincasey/UCLA/jalalilab/jalali-lab-first-assignment/consoleTXToutputs/pythonmainvariables.csv,,,
